Driver,LapNumber,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,MaxSpeed,Compound
NOR,1.0,1.0,100.424,,41.379,27.852,186.0,MEDIUM
NOR,2.0,1.0,98.48,29.268,41.412,27.8,276.0,MEDIUM
NOR,3.0,1.0,98.406,29.354,41.262,27.79,270.0,MEDIUM
NOR,4.0,1.0,98.446,29.399,41.305,27.742,272.0,MEDIUM
NOR,5.0,1.0,97.938,29.034,41.159,27.745,278.0,MEDIUM
NOR,6.0,1.0,97.843,29.15,41.224,27.469,279.0,MEDIUM
NOR,7.0,1.0,97.621,29.048,41.128,27.445,,MEDIUM
NOR,8.0,1.0,97.082,28.919,40.798,27.365,278.0,MEDIUM
NOR,9.0,1.0,96.715,28.781,40.658,27.276,,MEDIUM
NOR,10.0,1.0,96.83,28.727,40.859,27.244,284.0,MEDIUM
NOR,11.0,1.0,96.651,28.697,40.842,27.112,280.0,MEDIUM
NOR,12.0,1.0,96.495,28.62,40.879,26.996,281.0,MEDIUM
NOR,13.0,1.0,96.67,28.639,40.727,27.304,280.0,MEDIUM
NOR,14.0,1.0,96.832,28.803,40.825,27.204,,MEDIUM
NOR,15.0,1.0,96.758,28.747,40.861,27.15,282.0,MEDIUM
NOR,16.0,1.0,96.624,28.723,40.93,26.971,280.0,MEDIUM
NOR,17.0,1.0,97.008,28.765,40.959,27.284,281.0,MEDIUM
NOR,18.0,1.0,97.068,28.859,41.085,27.124,282.0,MEDIUM
NOR,19.0,1.0,97.282,28.814,41.2,27.268,278.0,MEDIUM
NOR,20.0,1.0,96.887,28.735,41.172,26.98,280.0,MEDIUM
NOR,21.0,1.0,97.198,28.918,41.088,27.192,278.0,MEDIUM
NOR,22.0,1.0,97.115,28.812,41.272,27.031,279.0,MEDIUM
NOR,23.0,1.0,97.212,28.855,41.138,27.219,280.0,MEDIUM
NOR,24.0,1.0,97.527,28.974,41.386,27.167,281.0,MEDIUM
NOR,25.0,1.0,97.404,28.797,41.373,27.234,282.0,MEDIUM
NOR,26.0,1.0,97.26,28.828,41.187,27.245,283.0,MEDIUM
NOR,27.0,1.0,97.603,28.941,41.425,27.237,282.0,MEDIUM
NOR,28.0,1.0,97.528,28.917,41.385,27.226,283.0,MEDIUM
NOR,29.0,1.0,101.878,28.963,41.543,31.372,,MEDIUM
NOR,30.0,1.0,107.073,29.259,41.876,35.938,281.0,MEDIUM
NOR,31.0,1.0,118.408,49.556,41.249,27.603,,HARD
NOR,32.0,1.0,97.034,28.851,40.761,27.422,283.0,HARD
NOR,33.0,1.0,96.684,28.703,40.783,27.198,284.0,HARD
NOR,34.0,1.0,96.714,28.639,40.807,27.268,286.0,HARD
NOR,35.0,1.0,96.524,28.57,40.706,27.248,,HARD
NOR,36.0,1.0,96.216,28.596,40.535,27.085,,HARD
NOR,37.0,1.0,96.435,28.512,40.644,27.279,287.0,HARD
NOR,38.0,1.0,96.71,28.596,40.814,27.3,286.0,HARD
NOR,39.0,1.0,97.325,28.744,41.192,27.389,285.0,HARD
NOR,40.0,1.0,97.194,28.722,41.038,27.434,284.0,HARD
NOR,41.0,1.0,96.57,28.598,40.84,27.132,289.0,HARD
NOR,42.0,1.0,96.404,28.56,40.731,27.113,284.0,HARD
NOR,43.0,1.0,96.61,28.776,40.757,27.077,,HARD
NOR,44.0,1.0,96.275,28.522,40.586,27.167,285.0,HARD
NOR,45.0,1.0,96.928,28.592,41.135,27.201,288.0,HARD
NOR,46.0,1.0,95.953,28.332,40.577,27.044,284.0,HARD
NOR,47.0,1.0,96.567,28.576999999999998,40.749,27.241,,HARD
NOR,48.0,1.0,94.925,28.238,40.206,26.481,290.0,HARD
NOR,49.0,1.0,96.06,28.515,40.596,26.949,287.0,HARD
NOR,50.0,1.0,96.311,28.5,40.749,27.062,285.0,HARD
NOR,51.0,1.0,96.603,28.507,40.946,27.15,284.0,HARD
NOR,52.0,1.0,96.192,28.497,40.713,26.982,285.0,HARD
NOR,53.0,1.0,96.435,28.491,40.695,27.249,,HARD
NOR,54.0,1.0,96.749,28.672,41.034,27.043,,HARD
NOR,55.0,1.0,96.786,28.613,41.01,27.163,286.0,HARD
NOR,56.0,1.0,97.197,28.723,41.176,27.298,,HARD
NOR,57.0,1.0,98.849,28.836,41.398,28.615,288.0,HARD
NOR,58.0,1.0,97.734,29.021,41.423,27.29,284.0,HARD
NOR,59.0,1.0,96.948,28.666,41.127,27.155,287.0,HARD
NOR,60.0,1.0,96.631,28.564,40.969,27.098,,HARD
NOR,61.0,1.0,96.82,28.686,41.15,26.984,286.0,HARD
NOR,62.0,1.0,97.922,28.662,41.387,27.873,,HARD
VER,1.0,2.0,101.413,,41.689,27.888,189.0,MEDIUM
VER,2.0,2.0,98.79,29.027,41.805,27.958,276.0,MEDIUM
VER,3.0,2.0,98.917,29.353,41.641,27.923000000000002,274.0,MEDIUM
VER,4.0,2.0,98.47,29.193,41.518,27.759,273.0,MEDIUM
VER,5.0,2.0,97.906,29.031,41.31,27.565,275.0,MEDIUM
VER,6.0,2.0,97.997,28.951999999999998,41.383,27.662,,MEDIUM
VER,7.0,2.0,97.774,29.021,41.271,27.482,277.0,MEDIUM
VER,8.0,2.0,97.669,29.109,41.083,27.477,,MEDIUM
VER,9.0,2.0,97.89,28.961,41.421,27.508,,MEDIUM
VER,10.0,2.0,97.739,28.882,41.405,27.452,,MEDIUM
VER,11.0,2.0,97.593,28.842,41.269,27.482,,MEDIUM
VER,12.0,2.0,97.778,28.894,41.425,27.459,,MEDIUM
VER,13.0,2.0,97.701,28.94,41.182,27.579,,MEDIUM
VER,14.0,2.0,97.707,28.994,41.292,27.421,276.0,MEDIUM
VER,15.0,2.0,97.826,28.967,41.348,27.511,277.0,MEDIUM
VER,16.0,2.0,97.851,29.023,41.338,27.49,276.0,MEDIUM
VER,17.0,2.0,97.987,29.011,41.423,27.553,275.0,MEDIUM
VER,18.0,2.0,98.068,28.965,41.611,27.492,276.0,MEDIUM
VER,19.0,2.0,98.017,28.996,41.483,27.538,,MEDIUM
VER,20.0,2.0,98.123,28.997,41.569,27.557,277.0,MEDIUM
VER,21.0,2.0,98.172,28.989,41.72,27.463,,MEDIUM
VER,22.0,2.0,98.192,28.989,41.704,27.499,,MEDIUM
VER,23.0,2.0,98.231,29.016,41.711,27.504,,MEDIUM
VER,24.0,2.0,98.399,29.056,41.782,27.561,,MEDIUM
VER,25.0,2.0,98.641,29.062,41.99,27.589,,MEDIUM
VER,26.0,2.0,98.575,29.106,41.818,27.651,,MEDIUM
VER,27.0,2.0,98.927,29.264,41.975,27.688,,MEDIUM
VER,28.0,2.0,99.265,29.236,42.261,27.768,276.0,MEDIUM
VER,29.0,2.0,107.873,29.284,42.515,36.074,,MEDIUM
VER,30.0,3.0,118.989,49.957,41.662,27.37,,HARD
VER,31.0,3.0,96.688,28.61,40.86,27.218,276.0,HARD
VER,32.0,3.0,96.824,28.613,40.928,27.283,277.0,HARD
VER,33.0,3.0,97.022,28.775,41.013,27.234,,HARD
VER,34.0,3.0,96.871,28.699,40.998,27.174,,HARD
VER,35.0,3.0,97.1,28.703,41.14,27.257,278.0,HARD
VER,36.0,3.0,96.968,28.653,41.062,27.253,,HARD
VER,37.0,3.0,96.984,28.691,41.058,27.235,280.0,HARD
VER,38.0,3.0,97.071,28.767,41.074,27.23,,HARD
VER,39.0,2.0,96.957,28.621,41.115,27.221,279.0,HARD
VER,40.0,2.0,96.962,28.662,41.048,27.252,280.0,HARD
VER,41.0,2.0,97.38,28.78,41.247,27.353,281.0,HARD
VER,42.0,2.0,96.865,28.629,41.058,27.178,294.0,HARD
VER,43.0,2.0,96.582,28.636,40.814,27.132,278.0,HARD
VER,44.0,2.0,96.414,28.587,40.752,27.075,279.0,HARD
VER,45.0,2.0,96.618,28.645,40.993,26.98,,HARD
VER,46.0,2.0,96.5,28.552,40.938,27.01,,HARD
VER,47.0,2.0,96.628,28.654,40.908,27.066,280.0,HARD
VER,48.0,2.0,96.739,28.672,40.922,27.145,,HARD
VER,49.0,2.0,96.602,28.749,40.909,26.944,282.0,HARD
VER,50.0,2.0,97.055,28.723,41.192,27.14,281.0,HARD
VER,51.0,2.0,97.132,28.785,41.295,27.052,282.0,HARD
VER,52.0,2.0,96.842,28.632,41.176,27.034,280.0,HARD
VER,53.0,2.0,96.843,28.64,41.069,27.134,281.0,HARD
VER,54.0,2.0,96.748,28.831,40.957,26.96,,HARD
VER,55.0,2.0,96.427,28.561,40.901,26.965,279.0,HARD
VER,56.0,2.0,96.387,28.611,40.869,26.907,280.0,HARD
VER,57.0,2.0,96.402,28.622,40.787,26.993,,HARD
VER,58.0,2.0,96.171,28.499,40.749,26.923000000000002,279.0,HARD
VER,59.0,2.0,95.967,28.352,40.694,26.921,281.0,HARD
VER,60.0,2.0,96.343,28.536,40.793,27.014,,HARD
VER,61.0,2.0,96.013,28.446,40.738,26.829,,HARD
VER,62.0,2.0,96.931,28.636,40.974,27.321,,HARD
PIA,1.0,5.0,105.268,,43.494,28.089,205.0,MEDIUM
PIA,2.0,5.0,98.939,29.283,41.853,27.803,277.0,MEDIUM
PIA,3.0,5.0,99.35,29.077,42.332,27.941,275.0,MEDIUM
PIA,4.0,5.0,99.356,29.343,42.235,27.778,272.0,MEDIUM
PIA,5.0,5.0,98.667,29.101,41.853,27.713,279.0,MEDIUM
PIA,6.0,5.0,98.778,29.132,41.923,27.723,283.0,MEDIUM
PIA,7.0,5.0,98.419,29.002,41.742,27.675,278.0,MEDIUM
PIA,8.0,5.0,97.873,28.888,41.45,27.535,281.0,MEDIUM
PIA,9.0,5.0,98.446,29.101,41.692,27.653,282.0,MEDIUM
PIA,10.0,5.0,98.429,29.15,41.615,27.664,283.0,MEDIUM
PIA,11.0,5.0,98.269,29.083,41.491,27.695,,MEDIUM
PIA,12.0,5.0,98.151,28.845,41.706,27.6,,MEDIUM
PIA,13.0,5.0,98.215,28.881,41.633,27.701,282.0,MEDIUM
PIA,14.0,5.0,97.651,28.822,41.347,27.482,,MEDIUM
PIA,15.0,5.0,98.435,29.004,41.615,27.816,281.0,MEDIUM
PIA,16.0,5.0,98.088,29.003,41.57,27.515,282.0,MEDIUM
PIA,17.0,4.0,98.532,28.941,41.907,27.684,,MEDIUM
PIA,18.0,4.0,98.188,28.981,41.599,27.608,,MEDIUM
PIA,19.0,4.0,98.749,28.849,42.365,27.535,293.0,MEDIUM
PIA,20.0,4.0,98.317,28.98,41.765,27.572,283.0,MEDIUM
PIA,21.0,4.0,98.275,28.855,41.872,27.548000000000002,285.0,MEDIUM
PIA,22.0,4.0,98.415,29.002,41.924,27.489,284.0,MEDIUM
PIA,23.0,4.0,98.262,28.955,41.809,27.498,283.0,MEDIUM
PIA,24.0,4.0,98.403,28.958,42.0,27.445,285.0,MEDIUM
PIA,25.0,4.0,98.516,28.834,42.087,27.595,283.0,MEDIUM
PIA,26.0,4.0,98.839,28.768,42.378,27.693,294.0,MEDIUM
PIA,27.0,3.0,98.644,28.794,42.31,27.54,291.0,MEDIUM
PIA,28.0,3.0,97.7,28.663,41.481,27.556,293.0,MEDIUM
PIA,29.0,3.0,97.944,28.916,41.686,27.342,286.0,MEDIUM
PIA,30.0,2.0,98.29,28.893,41.829,27.568,283.0,MEDIUM
PIA,31.0,2.0,98.149,28.907,41.833,27.409,,MEDIUM
PIA,32.0,2.0,98.194,28.854,41.918,27.422,285.0,MEDIUM
PIA,33.0,2.0,98.288,28.894,42.004,27.39,283.0,MEDIUM
PIA,34.0,2.0,98.038,28.802,41.815,27.421,288.0,MEDIUM
PIA,35.0,2.0,98.322,29.036,41.983,27.303,284.0,MEDIUM
PIA,36.0,2.0,98.147,28.965,41.783,27.399,283.0,MEDIUM
PIA,37.0,2.0,98.437,29.129,41.919,27.389,,MEDIUM
PIA,38.0,2.0,106.395,28.989,42.029,35.377,282.0,MEDIUM
PIA,39.0,5.0,117.551,49.349,41.086,27.116,,HARD
PIA,40.0,4.0,96.61,28.262,41.424,26.924,296.0,HARD
PIA,41.0,4.0,96.265,28.576,40.762,26.927,282.0,HARD
PIA,42.0,4.0,95.888,28.445,40.724,26.719,,HARD
PIA,43.0,4.0,96.167,28.443,40.894,26.83,287.0,HARD
PIA,44.0,4.0,97.363,28.148,41.883,27.332,296.0,HARD
PIA,45.0,3.0,97.258,28.497,41.491,27.27,293.0,HARD
PIA,46.0,3.0,96.324,28.643,40.69,26.991,281.0,HARD
PIA,47.0,3.0,96.33,28.629,40.776,26.925,,HARD
PIA,48.0,3.0,95.745,28.604,40.478,26.663,280.0,HARD
PIA,49.0,3.0,95.881,28.448,40.697,26.736,285.0,HARD
PIA,50.0,3.0,98.31,28.517,42.184,27.609,,HARD
PIA,51.0,3.0,97.269,28.733,41.511,27.025,288.0,HARD
PIA,52.0,3.0,96.856,28.49,41.127,27.239,290.0,HARD
PIA,53.0,3.0,97.406,28.883,41.362,27.161,291.0,HARD
PIA,54.0,3.0,96.841,28.529,41.271,27.041,300.0,HARD
PIA,55.0,3.0,95.995,28.45,40.675,26.87,285.0,HARD
PIA,56.0,3.0,96.355,28.525,40.943,26.887,286.0,HARD
PIA,57.0,3.0,96.07,28.422,40.813,26.835,287.0,HARD
PIA,58.0,3.0,96.056,28.442,40.719,26.895,285.0,HARD
PIA,59.0,3.0,97.009,28.358,41.323,27.328,289.0,HARD
PIA,60.0,3.0,97.191,28.458,41.515,27.218,295.0,HARD
PIA,61.0,3.0,97.407,28.68,41.455,27.272,286.0,HARD
PIA,62.0,3.0,96.869,28.415,41.361,27.093,289.0,HARD
RUS,1.0,4.0,103.822,,42.792,27.801,199.0,MEDIUM
RUS,2.0,4.0,98.489,28.986,41.538,27.965,283.0,MEDIUM
RUS,3.0,4.0,99.712,29.453,42.39,27.869,289.0,MEDIUM
RUS,4.0,4.0,99.17,29.464,42.067,27.639,284.0,MEDIUM
RUS,5.0,4.0,98.604,29.227,41.79,27.587,281.0,MEDIUM
RUS,6.0,4.0,98.372,29.243,41.65,27.479,280.0,MEDIUM
RUS,7.0,4.0,98.365,29.168,41.685,27.512,284.0,MEDIUM
RUS,8.0,4.0,98.26,29.102,41.735,27.423,285.0,MEDIUM
RUS,9.0,4.0,98.174,29.061,41.612,27.501,,MEDIUM
RUS,10.0,4.0,98.332,29.046,41.781,27.505,,MEDIUM
RUS,11.0,4.0,98.179,29.158,41.617,27.404,283.0,MEDIUM
RUS,12.0,4.0,98.091,29.018,41.568,27.505,,MEDIUM
RUS,13.0,4.0,98.05,29.144,41.566,27.34,,MEDIUM
RUS,14.0,4.0,98.173,29.012,41.688,27.473,284.0,MEDIUM
RUS,15.0,4.0,98.459,29.215,41.752,27.492,280.0,MEDIUM
RUS,16.0,4.0,98.526,29.14,41.735,27.651,281.0,MEDIUM
RUS,17.0,3.0,98.855,29.149,42.08,27.626,,MEDIUM
RUS,18.0,3.0,98.404,29.077,41.791,27.536,,MEDIUM
RUS,19.0,3.0,98.224,29.063,41.664,27.497,280.0,MEDIUM
RUS,20.0,3.0,98.336,29.053,41.765,27.518,282.0,MEDIUM
RUS,21.0,3.0,98.464,29.196,41.661,27.607,281.0,MEDIUM
RUS,22.0,3.0,98.364,29.098,41.709,27.557,,MEDIUM
RUS,23.0,3.0,98.417,29.113,41.733,27.571,282.0,MEDIUM
RUS,24.0,3.0,98.518,29.083,41.88,27.555,284.0,MEDIUM
RUS,25.0,3.0,98.892,29.223,41.996,27.673000000000002,283.0,MEDIUM
RUS,26.0,3.0,98.757,29.083,42.059,27.615,284.0,MEDIUM
RUS,27.0,4.0,106.903,29.178,42.102,35.623,281.0,MEDIUM
RUS,28.0,7.0,117.061,48.589,41.034,27.438,,HARD
RUS,29.0,5.0,97.097,28.644,41.145,27.308,297.0,HARD
RUS,30.0,5.0,97.047,28.709,41.104,27.234,284.0,HARD
RUS,31.0,5.0,97.404,28.766,41.24,27.398,286.0,HARD
RUS,32.0,5.0,97.348,28.913,41.198,27.237,285.0,HARD
RUS,33.0,5.0,97.449,28.826999999999998,41.375,27.247,288.0,HARD
RUS,34.0,5.0,98.356,28.611,41.783,27.962,301.0,HARD
RUS,35.0,5.0,99.168,28.733,41.971,28.464,299.0,HARD
RUS,36.0,4.0,99.164,29.298,42.069,27.797,283.0,HARD
RUS,37.0,4.0,97.786,28.816,41.631,27.339,298.0,HARD
RUS,38.0,4.0,97.577,28.843,41.282,27.452,286.0,HARD
RUS,39.0,3.0,97.369,28.861,41.32,27.188,283.0,HARD
RUS,40.0,3.0,97.545,28.982,41.299,27.264,,HARD
RUS,41.0,3.0,97.224,28.888,41.192,27.144,281.0,HARD
RUS,42.0,3.0,97.316,28.814,41.316,27.186,282.0,HARD
RUS,43.0,3.0,97.236,28.791,41.323,27.122,283.0,HARD
RUS,44.0,3.0,97.701,28.639,41.696,27.366,282.0,HARD
RUS,45.0,4.0,99.372,28.881,43.003,27.488,279.0,HARD
RUS,46.0,4.0,98.413,29.076,41.894,27.443,284.0,HARD
RUS,47.0,4.0,97.636,28.976,41.481,27.179,277.0,HARD
RUS,48.0,4.0,97.596,28.901,41.42,27.275,283.0,HARD
RUS,49.0,4.0,97.408,28.852,41.361,27.195,,HARD
RUS,50.0,4.0,98.007,28.836,41.83,27.341,281.0,HARD
RUS,51.0,4.0,97.545,28.847,41.442,27.256,285.0,HARD
RUS,52.0,4.0,97.299,28.772,41.334,27.193,282.0,HARD
RUS,53.0,4.0,97.497,28.852,41.496,27.149,288.0,HARD
RUS,54.0,4.0,97.38,28.698,41.495,27.187,287.0,HARD
RUS,55.0,4.0,97.311,28.694,41.388,27.229,,HARD
RUS,56.0,4.0,97.381,28.732,41.534,27.115,288.0,HARD
RUS,57.0,4.0,97.575,28.655,41.642,27.278,,HARD
RUS,58.0,4.0,97.796,28.659,41.835,27.302,290.0,HARD
RUS,59.0,4.0,98.326,28.785,42.103,27.438,289.0,HARD
RUS,60.0,4.0,97.872,28.765,41.92,27.187,,HARD
RUS,61.0,4.0,98.282,29.034,41.976,27.272,287.0,HARD
RUS,62.0,4.0,98.155,28.74,41.954,27.461,290.0,HARD
LEC,1.0,8.0,107.09,,44.011,28.522,219.0,MEDIUM
LEC,2.0,8.0,99.775,29.43,42.264,28.081,281.0,MEDIUM
LEC,3.0,8.0,99.14,29.157,42.136,27.847,290.0,MEDIUM
LEC,4.0,8.0,99.31,29.079,42.512,27.719,292.0,MEDIUM
LEC,5.0,8.0,99.041,28.991,42.147,27.903,290.0,MEDIUM
LEC,6.0,8.0,98.797,28.885,42.233,27.679,295.0,MEDIUM
LEC,7.0,8.0,98.645,28.954,42.14,27.551,289.0,MEDIUM
LEC,8.0,8.0,98.727,28.889,42.092,27.746,294.0,MEDIUM
LEC,9.0,8.0,98.691,28.87,42.117,27.704,293.0,MEDIUM
LEC,10.0,8.0,98.582,28.704,42.145,27.733,,MEDIUM
LEC,11.0,8.0,98.913,28.98,42.207,27.726,298.0,MEDIUM
LEC,12.0,8.0,98.776,28.876,42.292,27.608,293.0,MEDIUM
LEC,13.0,8.0,98.671,28.898,42.154,27.619,,MEDIUM
LEC,14.0,8.0,98.707,28.761,42.304,27.642,288.0,MEDIUM
LEC,15.0,8.0,98.515,28.669,42.226,27.62,285.0,MEDIUM
LEC,16.0,8.0,98.904,28.657,42.608,27.639,300.0,MEDIUM
LEC,17.0,8.0,99.561,29.34,42.244,27.977,252.0,MEDIUM
LEC,18.0,7.0,98.814,29.167,41.996,27.651,285.0,MEDIUM
LEC,19.0,7.0,98.734,29.021,41.998,27.715,286.0,MEDIUM
LEC,20.0,7.0,99.087,28.836,42.5,27.751,297.0,MEDIUM
LEC,21.0,7.0,99.315,29.175,42.45,27.69,296.0,MEDIUM
LEC,22.0,7.0,99.008,29.064,42.343,27.601,298.0,MEDIUM
LEC,23.0,7.0,99.688,29.36,42.525,27.803,297.0,MEDIUM
LEC,24.0,7.0,99.372,29.022,42.387,27.963,296.0,MEDIUM
LEC,25.0,6.0,100.029,29.402,42.508,28.119,291.0,MEDIUM
LEC,26.0,6.0,98.867,29.214,41.963,27.69,283.0,MEDIUM
LEC,27.0,6.0,99.153,29.163,42.339,27.651,285.0,MEDIUM
LEC,28.0,4.0,99.795,29.071,42.984,27.74,296.0,MEDIUM
LEC,29.0,4.0,98.371,28.9,41.785,27.686,283.0,MEDIUM
LEC,30.0,4.0,99.543,29.136,41.751,28.656,284.0,MEDIUM
LEC,31.0,4.0,99.214,29.313,42.14,27.761,285.0,MEDIUM
LEC,32.0,4.0,98.505,29.045,41.91,27.55,286.0,MEDIUM
LEC,33.0,4.0,98.187,29.055,41.688,27.444,285.0,MEDIUM
LEC,34.0,4.0,98.494,29.001,41.863,27.63,,MEDIUM
LEC,35.0,4.0,99.264,28.977,42.084,28.203,284.0,MEDIUM
LEC,36.0,6.0,107.084,29.1,42.344,35.64,,MEDIUM
LEC,37.0,8.0,117.168,48.936,40.866,27.366,,HARD
LEC,38.0,8.0,96.556,28.62,40.705,27.231,283.0,HARD
LEC,39.0,8.0,96.287,28.522,40.716,27.049,287.0,HARD
LEC,40.0,7.0,97.48,28.462,42.183,26.835,298.0,HARD
LEC,41.0,7.0,96.166,28.345,40.764,27.057,285.0,HARD
LEC,42.0,6.0,97.266,28.574,41.285,27.407,287.0,HARD
LEC,43.0,6.0,95.849,28.432,40.571,26.846,284.0,HARD
LEC,44.0,6.0,95.639,28.411,40.386,26.842,285.0,HARD
LEC,45.0,6.0,95.716,28.29,40.586,26.84,286.0,HARD
LEC,46.0,6.0,95.371,28.214,40.369,26.788,,HARD
LEC,47.0,6.0,95.758,28.407,40.515,26.836,,HARD
LEC,48.0,6.0,95.792,28.443,40.49,26.859,288.0,HARD
LEC,49.0,6.0,96.252,28.397,40.686,27.169,287.0,HARD
LEC,50.0,5.0,97.53,28.456,41.496,27.578,298.0,HARD
LEC,51.0,5.0,96.424,28.557,40.933,26.934,286.0,HARD
LEC,52.0,5.0,96.02,28.488,40.652,26.88,288.0,HARD
LEC,53.0,5.0,96.099,28.438,40.778,26.883,289.0,HARD
LEC,54.0,5.0,96.454,28.476,40.947,27.031,290.0,HARD
LEC,55.0,5.0,96.56,28.615,41.002,26.943,288.0,HARD
LEC,56.0,5.0,96.497,28.409,41.071,27.017,289.0,HARD
LEC,57.0,5.0,96.802,28.518,41.149,27.135,290.0,HARD
LEC,58.0,5.0,97.51,28.433,41.785,27.292,300.0,HARD
LEC,59.0,5.0,98.218,28.503,42.114,27.601,302.0,HARD
LEC,60.0,5.0,98.166,28.725,42.105,27.336,298.0,HARD
LEC,61.0,5.0,98.326,28.672,42.063,27.591,299.0,HARD
LEC,62.0,5.0,98.726,28.489,41.919,28.318,292.0,HARD
HAM,1.0,3.0,102.702,,42.472,27.79,195.0,SOFT
HAM,2.0,3.0,98.853,29.507,41.692,27.654,283.0,SOFT
HAM,3.0,3.0,99.254,29.487,41.873,27.894,276.0,SOFT
HAM,4.0,3.0,99.068,29.596,41.861,27.611,271.0,SOFT
HAM,5.0,3.0,98.294,29.286,41.477,27.531,272.0,SOFT
HAM,6.0,3.0,98.271,29.231,41.455,27.585,277.0,SOFT
HAM,7.0,3.0,98.38,29.271,41.608,27.501,278.0,SOFT
HAM,8.0,3.0,98.246,29.179,41.584,27.483,280.0,SOFT
HAM,9.0,3.0,98.027,29.095,41.504,27.428,281.0,SOFT
HAM,10.0,3.0,98.309,29.063,41.725,27.521,279.0,SOFT
HAM,11.0,3.0,97.916,29.11,41.411,27.395,,SOFT
HAM,12.0,3.0,97.984,29.093,41.603,27.288,280.0,SOFT
HAM,13.0,3.0,98.102,29.141,41.47,27.491,,SOFT
HAM,14.0,3.0,98.174,29.101,41.68,27.393,,SOFT
HAM,15.0,3.0,98.287,29.157,41.711,27.419,279.0,SOFT
HAM,16.0,3.0,99.044,29.462,41.887,27.695,280.0,SOFT
HAM,17.0,5.0,106.862,29.219,41.984,35.659,,SOFT
HAM,18.0,13.0,118.708,49.715,41.657,27.336,,HARD
HAM,19.0,12.0,98.202,28.874,41.308,28.02,285.0,HARD
HAM,20.0,12.0,98.745,29.148,41.873,27.724,281.0,HARD
HAM,21.0,12.0,98.916,29.173,41.795,27.948,284.0,HARD
HAM,22.0,11.0,98.194,28.957,41.8,27.437,294.0,HARD
HAM,23.0,11.0,98.396,29.198,41.743,27.455,278.0,HARD
HAM,24.0,11.0,98.352,29.218,41.652,27.482,279.0,HARD
HAM,25.0,11.0,100.158,29.011,42.206,28.941,280.0,HARD
HAM,26.0,10.0,100.171,30.049,42.374,27.748,298.0,HARD
HAM,27.0,9.0,99.999,28.995,42.629,28.375,292.0,HARD
HAM,28.0,8.0,98.455,29.22,41.663,27.572,278.0,HARD
HAM,29.0,7.0,98.026,29.061,41.614,27.351,,HARD
HAM,30.0,6.0,97.833,29.06,41.488,27.285,280.0,HARD
HAM,31.0,6.0,98.44,29.149,41.868,27.423,,HARD
HAM,32.0,6.0,97.696,29.004,41.459,27.233,283.0,HARD
HAM,33.0,6.0,97.447,28.947,41.257,27.243,,HARD
HAM,34.0,6.0,97.413,28.967,41.274,27.172,284.0,HARD
HAM,35.0,6.0,97.68,28.964,41.477,27.239,282.0,HARD
HAM,36.0,5.0,97.985,28.984,41.663,27.338,284.0,HARD
HAM,37.0,5.0,97.938,29.004,41.766,27.168,285.0,HARD
HAM,38.0,5.0,97.765,28.957,41.641,27.167,283.0,HARD
HAM,39.0,4.0,97.971,29.078,41.643,27.25,285.0,HARD
HAM,40.0,5.0,99.333,28.877,43.092,27.364,284.0,HARD
HAM,41.0,5.0,98.19,29.06,41.764,27.366,285.0,HARD
HAM,42.0,5.0,98.115,29.07,41.665,27.38,284.0,HARD
HAM,43.0,5.0,97.393,28.938,41.386,27.069,,HARD
HAM,44.0,5.0,97.593,28.933,41.466,27.194,287.0,HARD
HAM,45.0,5.0,97.801,28.868,41.768,27.165,286.0,HARD
HAM,46.0,5.0,97.797,28.942,41.575,27.28,283.0,HARD
HAM,47.0,5.0,97.922,28.946,41.753,27.223,,HARD
HAM,48.0,5.0,98.294,29.064,41.867,27.363,,HARD
HAM,49.0,5.0,98.331,28.971,41.954,27.406,284.0,HARD
HAM,50.0,6.0,100.411,29.119,43.135,28.157,,HARD
HAM,51.0,6.0,98.647,29.059,42.207,27.381,287.0,HARD
HAM,52.0,6.0,98.627,29.05,42.148,27.429,286.0,HARD
HAM,53.0,6.0,98.669,29.172,42.2,27.297,285.0,HARD
HAM,54.0,6.0,98.352,29.2,41.862,27.29,,HARD
HAM,55.0,6.0,98.634,29.125,42.027,27.482,284.0,HARD
HAM,56.0,6.0,99.121,29.215,42.149,27.757,283.0,HARD
HAM,57.0,6.0,99.034,29.271,42.266,27.497,285.0,HARD
HAM,58.0,6.0,98.686,29.034,42.173,27.479,283.0,HARD
HAM,59.0,6.0,99.006,29.173,42.132,27.701,,HARD
HAM,60.0,6.0,98.793,29.163,42.167,27.463,284.0,HARD
HAM,61.0,6.0,99.114,29.157,42.369,27.588,286.0,HARD
HAM,62.0,6.0,99.693,29.266,42.384,28.043,,HARD
SAI,1.0,12.0,109.501,,45.238,28.504,223.0,MEDIUM
SAI,2.0,12.0,100.217,29.383,42.751,28.083,272.0,MEDIUM
SAI,3.0,12.0,99.441,28.921,42.509,28.011,288.0,MEDIUM
SAI,4.0,12.0,99.105,28.887,42.293,27.925,289.0,MEDIUM
SAI,5.0,12.0,99.118,29.051,42.129,27.938,,MEDIUM
SAI,6.0,12.0,99.221,29.201,42.255,27.765,287.0,MEDIUM
SAI,7.0,12.0,99.349,28.892,42.587,27.87,290.0,MEDIUM
SAI,8.0,12.0,98.784,28.906,42.083,27.795,,MEDIUM
SAI,9.0,12.0,99.072,28.716,42.486,27.87,298.0,MEDIUM
