Driver,LapNumber,Position,LapTime,Sector1Time,Sector2Time,Sector3Time,MaxSpeed,Compound
RUS,1.0,1.0,103.267,,33.383,37.566,307.0,MEDIUM
RUS,2.0,1.0,99.077,28.738,33.235,37.104,318.0,MEDIUM
RUS,3.0,1.0,98.864,28.368,33.152,37.344,320.0,MEDIUM
RUS,4.0,1.0,98.748,28.229,32.97,37.549,300.0,MEDIUM
RUS,5.0,1.0,98.136,28.341,32.594,37.201,315.0,MEDIUM
RUS,6.0,1.0,98.33,28.217,33.033,37.08,321.0,MEDIUM
RUS,7.0,1.0,98.498,28.127,33.232,37.139,321.0,MEDIUM
RUS,8.0,1.0,98.353,28.106,33.174,37.073,323.0,MEDIUM
RUS,9.0,1.0,98.751,28.174,33.293,37.284,321.0,MEDIUM
RUS,10.0,1.0,98.681,28.296,33.247,37.138,321.0,MEDIUM
RUS,11.0,1.0,98.689,28.305,33.335,37.049,322.0,MEDIUM
RUS,12.0,1.0,103.522,28.363,33.385,41.774,320.0,MEDIUM
RUS,13.0,2.0,114.754,44.155,33.616,36.983,320.0,HARD
RUS,14.0,1.0,98.296,28.196,33.058,37.042,322.0,HARD
RUS,15.0,1.0,98.331,28.212,33.012,37.107,320.0,HARD
RUS,16.0,1.0,97.913,28.035,32.943,36.935,325.0,HARD
RUS,17.0,1.0,97.869,28.025,32.926,36.918,323.0,HARD
RUS,18.0,1.0,97.964,28.028,32.974,36.962,323.0,HARD
RUS,19.0,1.0,98.003,28.084,32.989,36.93,319.0,HARD
RUS,20.0,1.0,97.733,27.982,32.966,36.785,322.0,HARD
RUS,21.0,1.0,97.359,27.868,32.675,36.816,323.0,HARD
RUS,22.0,1.0,97.556,27.94,32.754,36.862,322.0,HARD
RUS,23.0,1.0,97.73,27.956,32.895,36.879,321.0,HARD
RUS,24.0,1.0,97.576,27.961,32.736,36.879,324.0,HARD
RUS,25.0,1.0,97.724,27.928,32.843,36.953,319.0,HARD
RUS,26.0,1.0,97.467,27.795,32.834,36.838,325.0,HARD
RUS,27.0,1.0,97.609,27.811,32.964,36.834,321.0,HARD
RUS,28.0,1.0,97.896,27.884,33.183,36.829,323.0,HARD
RUS,29.0,1.0,97.556,28.074,32.784,36.698,325.0,HARD
RUS,30.0,1.0,97.544,27.92,32.88,36.744,324.0,HARD
RUS,31.0,1.0,97.801,27.957,33.099,36.745,323.0,HARD
RUS,32.0,1.0,102.229,27.884,32.879,41.466,324.0,HARD
RUS,33.0,1.0,113.703,43.646,33.163,36.894,320.0,HARD
RUS,34.0,1.0,97.621,28.03,32.853,36.738,327.0,HARD
RUS,35.0,1.0,97.246,27.863,32.699,36.684,323.0,HARD
RUS,36.0,1.0,97.021,27.877,32.526,36.618,323.0,HARD
RUS,37.0,1.0,96.844,27.701,32.571,36.572,325.0,HARD
RUS,38.0,1.0,96.407,27.727,32.318,36.362,326.0,HARD
RUS,39.0,1.0,96.275,27.625,32.313,36.337,325.0,HARD
RUS,40.0,1.0,96.358,27.508,32.436,36.414,327.0,HARD
RUS,41.0,1.0,96.559,27.864,32.244,36.451,322.0,HARD
RUS,42.0,1.0,96.344,27.64,32.252,36.452,323.0,HARD
RUS,43.0,1.0,95.951,27.377,32.164,36.41,325.0,HARD
RUS,44.0,1.0,95.946,27.286,32.186,36.474,324.0,HARD
RUS,45.0,1.0,96.057,27.342,32.301,36.414,324.0,HARD
RUS,46.0,1.0,95.717,27.305,31.481,36.418,326.0,HARD
RUS,47.0,1.0,96.36,27.52,31.784,36.547,325.0,HARD
RUS,48.0,1.0,96.663,27.685,32.411,36.567,325.0,HARD
RUS,49.0,1.0,97.204,27.937,32.667,36.6,327.0,HARD
RUS,50.0,1.0,97.867,27.958,32.969,36.94,310.0,HARD
HAM,1.0,10.0,109.116,,35.485,37.257,280.0,MEDIUM
HAM,2.0,10.0,100.033,29.367,33.928,36.738,302.0,MEDIUM
HAM,3.0,10.0,99.403,28.871,33.591,36.941,269.0,MEDIUM
HAM,4.0,10.0,99.157,28.765,33.635,36.757,309.0,MEDIUM
HAM,5.0,10.0,99.207,28.913,33.433,36.861,268.0,MEDIUM
HAM,6.0,9.0,98.648,28.584,33.399,36.665,296.0,MEDIUM
HAM,7.0,9.0,100.235,28.916,33.66,37.659,335.0,MEDIUM
HAM,8.0,8.0,99.095,28.856,33.794,36.445,323.0,MEDIUM
HAM,9.0,5.0,100.926,29.819,34.233,36.874,296.0,MEDIUM
HAM,10.0,4.0,100.2,29.082,34.403,36.715,332.0,MEDIUM
HAM,11.0,3.0,99.007,28.382,33.303,37.322,316.0,MEDIUM
HAM,12.0,2.0,99.078,28.293,33.373,37.412,315.0,MEDIUM
HAM,13.0,1.0,103.19,28.093,33.448,41.649,318.0,MEDIUM
HAM,14.0,8.0,114.928,44.152,34.331,36.445,308.0,HARD
HAM,15.0,7.0,97.772,28.211,32.973,36.588,302.0,HARD
HAM,16.0,6.0,97.091,27.837,32.943,36.311,350.0,HARD
HAM,17.0,5.0,99.354,28.064,34.785,36.505,314.0,HARD
HAM,18.0,5.0,97.668,27.883,33.098,36.687,326.0,HARD
HAM,19.0,5.0,98.14,28.221,33.137,36.782,295.0,HARD
HAM,20.0,5.0,97.275,27.757,32.963,36.555,303.0,HARD
HAM,21.0,5.0,97.355,27.836,32.873,36.646,311.0,HARD
HAM,22.0,5.0,97.086,27.81,32.827,36.449,298.0,HARD
HAM,23.0,5.0,97.121,27.819,32.952,36.35,323.0,HARD
HAM,24.0,5.0,97.323,27.752,33.049,36.522,301.0,HARD
HAM,25.0,5.0,98.213,28.11,33.248,36.855,311.0,HARD
HAM,26.0,5.0,97.055,27.806,32.808,36.441,320.0,HARD
HAM,27.0,5.0,103.83,28.336,33.353,42.141,306.0,HARD
HAM,28.0,6.0,112.902,43.972,32.501,36.429,325.0,HARD
HAM,29.0,5.0,96.951,27.497,32.895,36.559,327.0,HARD
HAM,30.0,5.0,96.748,27.623,32.444,36.681,317.0,HARD
HAM,31.0,3.0,96.412,27.615,32.608,36.189,328.0,HARD
HAM,32.0,2.0,96.96,27.654,32.535,36.771,318.0,HARD
HAM,33.0,2.0,97.293,27.776,32.702,36.815,322.0,HARD
HAM,34.0,2.0,96.685,27.503,32.496,36.686,320.0,HARD
HAM,35.0,2.0,96.397,27.461,32.399,36.537,322.0,HARD
HAM,36.0,2.0,96.288,27.576,32.313,36.399,323.0,HARD
HAM,37.0,2.0,96.177,27.432,32.365,36.38,324.0,HARD
HAM,38.0,2.0,96.148,27.307,32.407,36.434,326.0,HARD
HAM,39.0,2.0,95.88,27.222,32.265,36.393,325.0,HARD
HAM,40.0,2.0,95.928,27.203,32.36,36.365,325.0,HARD
HAM,41.0,2.0,95.48,27.224,32.01,36.246,326.0,HARD
HAM,42.0,2.0,95.884,27.416,32.269,36.199,327.0,HARD
HAM,43.0,2.0,95.863,27.322,32.484,36.057,336.0,HARD
HAM,44.0,2.0,95.662,27.175,32.161,36.326,325.0,HARD
HAM,45.0,2.0,95.988,27.189,32.368,36.431,326.0,HARD
HAM,46.0,2.0,95.877,27.327,31.86,36.176,328.0,HARD
HAM,47.0,2.0,97.086,27.452,33.052,36.582,324.0,HARD
HAM,48.0,2.0,97.457,27.976,32.921,36.56,326.0,HARD
HAM,49.0,2.0,97.593,27.868,33.142,36.583,324.0,HARD
HAM,50.0,2.0,98.117,28.003,33.322,36.792,311.0,HARD
SAI,1.0,3.0,104.812,,33.928,37.359,290.0,MEDIUM
SAI,2.0,3.0,99.466,28.957,33.526,36.983,321.0,MEDIUM
SAI,3.0,3.0,98.581,28.46,33.303,36.818,319.0,MEDIUM
SAI,4.0,3.0,98.537,28.249,33.28,37.008,314.0,MEDIUM
SAI,5.0,3.0,98.394,28.344,33.263,36.787,298.0,MEDIUM
SAI,6.0,3.0,98.708,28.476,33.5,36.732,308.0,MEDIUM
SAI,7.0,2.0,99.042,28.421,33.683,36.938,325.0,MEDIUM
SAI,8.0,2.0,99.584,28.653,33.609,37.322,321.0,MEDIUM
SAI,9.0,2.0,100.512,28.667,34.278,37.567,315.0,MEDIUM
SAI,10.0,3.0,106.562,29.049,34.803,42.71,281.0,MEDIUM
SAI,11.0,11.0,114.659,44.285,33.688,36.686,320.0,HARD
SAI,12.0,8.0,100.794,29.112,34.863,36.819,299.0,HARD
SAI,13.0,6.0,99.627,28.851,34.472,36.304,315.0,HARD
SAI,14.0,4.0,97.921,27.9,33.284,36.737,320.0,HARD
SAI,15.0,4.0,98.22,28.179,33.3,36.741,324.0,HARD
SAI,16.0,3.0,98.868,28.374,34.015,36.479,314.0,HARD
SAI,17.0,3.0,97.967,27.977,33.244,36.746,322.0,HARD
SAI,18.0,3.0,98.076,28.257,33.121,36.698,325.0,HARD
SAI,19.0,3.0,97.763,27.989,33.162,36.612,328.0,HARD
SAI,20.0,3.0,97.774,27.868,33.259,36.647,327.0,HARD
SAI,21.0,3.0,97.546,27.917,32.942,36.687,331.0,HARD
SAI,22.0,3.0,97.514,27.756,33.082,36.676,330.0,HARD
SAI,23.0,3.0,97.477,27.945,33.053,36.479,325.0,HARD
SAI,24.0,3.0,97.919,27.906,33.281,36.732,322.0,HARD
SAI,25.0,3.0,97.944,28.118,33.259,36.567,319.0,HARD
SAI,26.0,3.0,98.321,28.022,33.407,36.892,320.0,HARD
SAI,27.0,4.0,101.611,28.367,33.466,39.778,289.0,HARD
SAI,28.0,3.0,103.655,29.544,33.371,40.74,328.0,HARD
SAI,29.0,6.0,113.088,43.538,32.895,36.655,320.0,HARD
SAI,30.0,6.0,97.353,27.882,32.762,36.709,321.0,HARD
SAI,31.0,5.0,96.973,27.797,32.65,36.526,324.0,HARD
SAI,32.0,4.0,97.397,27.94,32.939,36.518,324.0,HARD
SAI,33.0,4.0,97.524,27.892,32.993,36.639,324.0,HARD
SAI,34.0,4.0,97.146,27.74,32.889,36.517,323.0,HARD
SAI,35.0,4.0,96.641,27.678,32.744,36.219,326.0,HARD
SAI,36.0,4.0,96.519,27.598,32.659,36.262,324.0,HARD
SAI,37.0,4.0,96.509,27.557,32.742,36.21,324.0,HARD
SAI,38.0,4.0,96.125,27.607,32.325,36.193,330.0,HARD
SAI,39.0,4.0,96.196,27.642,32.452,36.102,327.0,HARD
SAI,40.0,4.0,96.043,27.486,32.417,36.14,325.0,HARD
SAI,41.0,3.0,96.507,27.579,32.837,36.091,338.0,HARD
SAI,42.0,3.0,96.223,27.494,32.393,36.336,323.0,HARD
SAI,43.0,3.0,96.302,27.483,32.4,36.419,325.0,HARD
SAI,44.0,3.0,95.875,27.246,32.321,36.308,325.0,HARD
SAI,45.0,3.0,96.34,27.501,32.642,36.197,325.0,HARD
SAI,46.0,3.0,96.139,27.399,31.926,36.299,326.0,HARD
SAI,47.0,3.0,95.88,27.363,32.253,36.264,324.0,HARD
SAI,48.0,3.0,96.015,27.396,32.326,36.293,324.0,HARD
SAI,49.0,3.0,96.467,27.456,32.474,36.537,326.0,HARD
SAI,50.0,3.0,96.759,27.776,32.826,36.157,327.0,HARD
LEC,1.0,2.0,103.882,,33.67,37.251,296.0,MEDIUM
LEC,2.0,2.0,99.333,29.011,33.345,36.977,303.0,MEDIUM
LEC,3.0,2.0,98.329,28.291,33.222,36.816,310.0,MEDIUM
LEC,4.0,2.0,98.501,28.652,32.902,36.947,321.0,MEDIUM
LEC,5.0,2.0,99.177,29.049,33.05,37.078,297.0,MEDIUM
LEC,6.0,2.0,98.652,28.48,33.213,36.959,307.0,MEDIUM
LEC,7.0,3.0,100.006,28.422,33.748,37.836,306.0,MEDIUM
LEC,8.0,4.0,101.841,29.279,34.579,37.983,251.0,MEDIUM
LEC,9.0,7.0,107.546,29.892,34.857,42.797,276.0,MEDIUM
LEC,10.0,16.0,114.299,44.127,33.268,36.904,309.0,HARD
LEC,11.0,12.0,98.818,28.753,33.311,36.754,307.0,HARD
LEC,12.0,10.0,99.962,28.389,34.418,37.155,301.0,HARD
LEC,13.0,7.0,99.948,28.755,34.291,36.902,280.0,HARD
LEC,14.0,6.0,98.893,28.584,33.386,36.923,300.0,HARD
LEC,15.0,5.0,98.237,28.399,33.073,36.765,314.0,HARD
LEC,16.0,5.0,98.316,28.208,33.388,36.72,298.0,HARD
LEC,17.0,4.0,99.487,28.748,33.94,36.799,313.0,HARD
LEC,18.0,4.0,98.251,28.411,33.228,36.612,326.0,HARD
LEC,19.0,4.0,97.978,28.135,33.199,36.644,324.0,HARD
LEC,20.0,4.0,97.295,27.927,32.883,36.485,326.0,HARD
LEC,21.0,4.0,97.448,27.955,32.711,36.782,319.0,HARD
LEC,22.0,4.0,97.13,27.891,32.783,36.456,320.0,HARD
LEC,23.0,4.0,97.177,27.898,32.869,36.41,323.0,HARD
LEC,24.0,4.0,97.256,27.89,32.926,36.44,332.0,HARD
LEC,25.0,4.0,97.291,28.0,32.958,36.333,307.0,HARD
LEC,26.0,4.0,97.933,28.128,33.135,36.67,312.0,HARD
